ARKHAM HOUSE,,,
"3 on order, 42 on shelf, and 45 in total",,,
Witch House,Evangline Walton,1945,shelf
Fearful Pleasures,A. E. Coppard,1946,shelf
West India Lights ,Henry S. Whitehead ,1946,shelf
Carnacki: The Ghost Finder,William Hope Hodgson ,1947,shelf
Nights Black Agents,Fritz Lieber,1947,shelf
The Fourth Book Of Jorkens,Lord Dunsany ,1948,shelf
The Web of Easter Island,Donald Wandrei,1948,shelf
Mask of Cthulhu ,August Dereleth,1958,shelf
Abominations of Yondo,Clarke Ashton Smith ,1960,shelf
Pleasant Dreams: Nightmares,Robert Bloch,1960,shelf
"Dark Mind, Dark Heart",August Derleth (ed.),1962,shelf
Dreams and Fancies,H.P. Lovecraft ,1962,shelf
The Trail of Cthulhu ,August Derleth,1962,shelf
The Dunwich Horror and Others,H. P. Lovecraft,1963,shelf
The Horror From The Hills,Frank Belknap Long,1963,shelf
At The Mountains of Madness and Other Novels,H.P. Lovecraft,1964,shelf
Over The Edge,August Derleth (ed.),1964,shelf
Tales of Science and Sorcery,Clark Ashton Smith,1964,shelf
The Inhabitant of the Lake and Less Welcome Tenants,Ramsey Campbell,1964,shelf
Dagon and Other Macabre Tales ,H.P. Lovecraft,1965,shelf
Deep Waters,William Hope Hodgson,1967,shelf
The Mind Parasites,Colin Wilson,1967,shelf
Number Seven Queer Street ,Margery Lawrence ,1969,shelf
Tales of the Cthulhu Mythos,August Derleth (Ed),1969,shelf
The Horror in the Museum and Other Revisions,H. P. Lovecraft,1970,shelf
Dark Things,August Derleth (ed.),1971,shelf
Beneath the Moors,Brian Lumley,1974,shelf
Collected Ghost Stories,Mary Wilkins Freeman,1974,shelf
House of the Worm,Gary Myers,1975,shelf
Xélucha and Others,M. P. Shiel,1975,shelf
The Height of the Scream,Ramsey Campbell,1976,shelf
"And Afterward, The Dark",Basil Copper,1977,shelf
In Mayan Splendor,Frank Belknap Long,1977,shelf
Prince Zaleski and Cummings King Monk,M. P. Shiel,1977,shelf
The Horror at Oakdeene and Others,Brian Lumley,1977,shelf
Half in Shadow,Mary Elizabeth Councelman,1978,shelf
New Tales of the Cthulhu Mythos,Ramsey Campbell (Ed.),1980,shelf
Dreams of Dark and Light,Tanith Lee,1986,shelf
Tales of the Quintana Roo,James Tiptree Jr. ,1986,shelf
The Jaguar Hunter,Lucius Shepard,1987,shelf
Rendezvous in Averoigne,Clarke Ashton Smith ,1988,shelf
Tales of the Cthulhu Mythos,August Derleth (ed.),1990,shelf
Cthulhu 2000,Jim Turner (ed.),1995,shelf
Sixty Years of Arkham House,S. T. Joshi,1999,shelf
